month,county,closed_sales,median_price,active_listings,months_inventory,days_on_market,price_yoy_change,sales_yoy_change,price_index_2012_base100
2012-01-01,Austin County,9,132900.0,126,14.0,192,-0.3355,0.2857142857,100.0
2012-02-01,Austin County,10,146500.0,136,13.6,133,0.08598962194,0.1111111111,110.2
2012-03-01,Austin County,7,215000.0,137,19.6,204,0.8220338983,-0.4615384615,161.8
2012-04-01,Austin County,15,199000.0,130,8.7,226,0.3092105263,0.07142857143,149.7
2012-05-01,Austin County,15,185000.0,134,8.9,252,0.2012987013,1.142857143,139.2
2012-06-01,Austin County,14,133700.0,138,9.9,104,-0.02940108893,0.4,100.6
2012-07-01,Austin County,17,185000.0,137,8.1,168,0.4068441065,1.833333333,139.2
2012-08-01,Austin County,11,157650.0,135,12.3,157,0.08724137931,0.0,118.6
2012-09-01,Austin County,10,217500.0,139,13.9,189,0.5743243977,-0.5,163.7
2012-10-01,Austin County,11,205000.0,142,12.9,173,0.025,0.2222222222,154.3
2012-11-01,Austin County,15,160000.0,143,9.5,136,1.53968254,2.0,120.4
2012-12-01,Austin County,9,173000.0,139,15.4,125,-0.156097561,0.0,130.2
2013-01-01,Austin County,13,134900.0,130,10.0,73,0.01504890895,0.4444444444,101.5
2013-02-01,Austin County,12,190450.0,122,10.2,211,0.3,0.2,143.3
2013-03-01,Austin County,15,152000.0,104,6.9,157,-0.2930232558,1.142857143,114.4
2013-04-01,Austin County,15,142000.0,108,7.2,155,-0.2864321608,0.0,106.8
2013-05-01,Austin County,16,150500.0,111,6.9,81,-0.1864864865,0.06666666667,113.2
2013-06-01,Austin County,18,198500.0,122,6.8,71,0.4846671653,0.2857142857,149.4
2013-07-01,Austin County,27,175000.0,125,4.6,63,-0.05405405405,0.5882352941,131.7
2013-08-01,Austin County,17,212500.0,121,7.1,69,0.3479226134,0.5454545455,159.9
2013-09-01,Austin County,22,173750.0,120,5.5,57,-0.2011494253,1.2,130.7
2013-10-01,Austin County,11,190000.0,125,11.4,158,-0.07317073171,0.0,143.0
2013-11-01,Austin County,9,156500.0,121,13.4,78,-0.021875,-0.4,117.8
2013-12-01,Austin County,21,134000.0,106,5.0,139,-0.225433526,1.333333333,100.8
2014-01-01,Austin County,10,130000.0,97,9.7,118,-0.03632320237,-0.2307692308,97.8
2014-02-01,Austin County,24,192600.0,94,3.9,94,0.01128905224,1.0,144.9
2014-03-01,Austin County,26,132500.0,90,3.5,146,-0.1282894737,0.7333333333,99.7
2014-04-01,Austin County,15,195000.0,88,5.9,125,0.3732394366,0.0,146.7
2014-05-01,Austin County,23,138000.0,98,4.3,67,-0.08305647841,0.4375,103.8
2014-06-01,Austin County,19,137000.0,103,5.4,50,-0.3098236776,0.05555555556,103.1
2014-07-01,Austin County,14,168500.0,119,8.5,52,-0.03714285714,-0.4814814815,126.8
2014-08-01,Austin County,22,179950.0,116,5.3,55,-0.1531764706,0.2941176471,135.4
2014-09-01,Austin County,15,165000.0,115,7.7,59,-0.05035971223,-0.3181818182,124.2
2014-10-01,Austin County,22,122250.0,102,4.6,35,-0.3565789474,1.0,92.0
2014-11-01,Austin County,10,197000.0,102,10.2,136,0.2587859425,0.1111111111,148.2
2014-12-01,Austin County,17,150000.0,100,5.9,94,0.1194029851,-0.1904761905,112.9
2015-01-01,Austin County,4,218000.0,102,25.5,189,0.6769230769,-0.6,164.0
2015-02-01,Austin County,11,97000.0,98,8.9,29,-0.4963655244,-0.5416666667,73.0
2015-03-01,Austin County,15,145000.0,99,6.6,113,0.09433962264,-0.4230769231,109.1
2015-04-01,Austin County,18,157000.0,102,5.7,65,-0.1948717949,0.2,118.1
2015-05-01,Austin County,20,144500.0,99,5.0,73,0.04710144928,-0.1304347826,108.7
2015-06-01,Austin County,18,188450.0,100,5.6,33,0.3755474453,-0.05263157895,141.8
2015-07-01,Austin County,24,228450.0,98,4.1,48,0.3557863501,0.7142857143,171.9
2015-08-01,Austin County,22,197450.0,98,4.5,48,0.0972492359,0.0,148.6
2015-09-01,Austin County,21,185000.0,103,4.9,116,0.1212121212,0.4,139.2
2015-10-01,Austin County,15,195000.0,84,5.6,55,0.5950920245,-0.3181818182,146.7
2015-11-01,Austin County,24,196950.0,76,3.2,48,-0.0002538071066,1.4,148.2
2015-12-01,Austin County,18,162500.0,69,3.8,81,0.08333333333,0.05882352941,122.3
2016-01-01,Austin County,16,220950.0,71,4.4,32,0.01353211009,3.0,166.3
2016-02-01,Austin County,12,148250.0,70,5.8,86,0.5283505155,0.09090909091,111.6
2016-03-01,Austin County,17,185000.0,72,4.2,117,0.275862069,0.1333333333,139.2
2016-04-01,Austin County,11,193500.0,71,6.5,17,0.2324840764,-0.3888888889,145.6
2016-05-01,Austin County,18,175000.0,77,4.3,58,0.2110726644,-0.1,131.7
2016-06-01,Austin County,24,252750.0,87,3.6,46,0.3412045635,0.3333333333,190.2
2016-07-01,Austin County,20,185500.0,99,5.0,19,-0.1880061283,-0.1666666667,139.6
2016-08-01,Austin County,20,199400.0,115,5.8,48,0.009875917954,-0.09090909091,150.0
2016-09-01,Austin County,10,155750.0,122,12.2,22,-0.1581081081,-0.5238095238,117.2
2016-10-01,Austin County,16,233450.0,119,7.4,77,0.1971794872,0.06666666667,175.7
2016-11-01,Austin County,15,225000.0,130,8.7,83,0.1424219345,-0.375,169.3
2016-12-01,Austin County,15,194000.0,122,8.1,110,0.1938461538,-0.1666666667,146.0
2017-01-01,Austin County,21,180000.0,110,5.2,116,-0.1853360489,0.3125,135.4
