month,market_area,closed_sales,pending_sales,active_listings,new_listings,months_inventory,median_price,days_on_market,sale_to_list_ratio,single_family_permits,multi_family_permits,mortgage_rate_30yr,zhvi_typical_home_value,price_yoy_change,sales_yoy_change,inventory_yoy_change,dom_yoy_change,permit_yoy_change,affordability_pressure_index,market_condition_score,market_condition_label
2012-01-01,"Houston, TX metro area",3291.0,3291.0,30554.0,6851.0,9.3,138250.0,121.0,0.9569,199.0,422.0,3.915,144829.81,0.0091,0.156,-0.1273,-5.0,2.0146,-1.215,-1.522,cooler
2012-02-01,"Houston, TX metro area",4151.0,4150.0,31683.0,7323.0,7.6,150000.0,125.0,0.9582,278.0,762.0,3.89,145027.93,-0.0127,0.2655,-0.1156,-8.0,3.8598,-1.128,-1.223,cooler
2012-03-01,"Houston, TX metro area",5352.0,5347.0,33051.0,8915.0,6.2,162000.0,116.0,0.9629,302.0,914.0,3.954,145254.69,0.0807,0.1612,-0.1078,-13.0,2.6517,-1.006,-0.709,cooler
2012-04-01,"Houston, TX metro area",5600.0,5600.0,34476.0,8997.0,6.2,160950.0,98.0,0.965,314.0,148.0,3.91,145347.0,0.0802,0.191,-0.0942,-16.0,-0.5242,-1.031,-0.519,cooler
2012-05-01,"Houston, TX metro area",6679.0,6679.0,34748.0,8884.0,5.2,168000.0,91.0,0.9683,316.0,930.0,3.798,145356.71,0.0769,0.3556,-0.0898,-15.0,4.1488,-1.015,-0.083,balanced
2012-06-01,"Houston, TX metro area",6904.0,6900.0,34605.0,8904.0,5.0,170000.0,89.0,0.9687,279.0,4.0,3.675,145567.32,0.0526,0.2298,-0.0784,-15.0,-0.7024,-1.045,-0.306,balanced
2012-07-01,"Houston, TX metro area",6772.0,6769.0,33704.0,8013.0,5.0,169500.0,92.0,0.9694,227.0,1201.0,3.55,145942.78,0.0594,0.3498,-0.0802,-16.0,1.4244,-1.096,-0.142,balanced
2012-08-01,"Houston, TX metro area",7020.0,7007.0,31834.0,7637.0,4.5,165000.0,96.0,0.9678,382.0,1283.0,3.602,146430.46,0.0312,0.2919,-0.0886,-15.0,0.346,-1.113,-0.275,balanced
2012-09-01,"Houston, TX metro area",5439.0,5415.0,30532.0,6325.0,5.6,164000.0,97.0,0.9658,339.0,936.0,3.498,146847.82,0.0581,0.1801,-0.0957,-16.0,1.2174,-1.16,-0.509,cooler
2012-10-01,"Houston, TX metro area",5774.0,5748.0,29183.0,6685.0,5.1,163349.5,102.0,0.9641,353.0,512.0,3.383,147181.07,0.089,0.4399,-0.1162,-16.0,-0.205,-1.208,0.018,balanced
2012-11-01,"Houston, TX metro area",5379.0,5257.0,27590.0,5731.0,5.1,167500.0,102.0,0.9651,306.0,1277.0,3.352,147545.44,0.0806,0.3828,-0.1406,-16.0,4.9962,-1.186,-0.069,balanced
2012-12-01,"Houston, TX metro area",5508.0,4596.0,22975.0,4424.0,4.2,170562.5,106.0,0.9639,265.0,9.0,3.345,147858.56,0.0637,0.2159,-0.2172,-15.0,-0.7178,-1.163,-0.181,balanced
2013-01-01,"Houston, TX metro area",4220.0,6808.0,21693.0,7127.0,5.1,150000.0,95.0,0.9651,341.0,692.0,3.414,148262.99,0.085,0.2823,-0.29,-26.0,0.6634,-1.306,0.009,balanced
2013-02-01,"Houston, TX metro area",4821.0,7607.0,21278.0,7504.0,4.4,162415.0,81.0,0.9643,409.0,164.0,3.532,148838.65,0.0828,0.1614,-0.3284,-44.0,-0.449,-1.16,0.112,balanced
2013-03-01,"Houston, TX metro area",6292.0,9049.0,21220.0,8872.0,3.4,172495.0,59.0,0.9688,384.0,1110.0,3.565,149743.34,0.0648,0.1756,-0.358,-57.0,0.2286,-1.065,0.454,balanced
2013-04-01,"Houston, TX metro area",7003.0,10116.0,21187.0,9543.0,3.0,184250.0,44.0,0.9734,451.0,433.0,3.445,150775.76,0.1448,0.2505,-0.3855,-54.0,0.9134,-1.014,1.086,warmer
2013-05-01,"Houston, TX metro area",8304.0,11290.0,21554.0,10201.0,2.6,185000.0,39.0,0.9763,490.0,1097.0,3.536,152004.75,0.1012,0.2433,-0.3797,-52.0,0.2737,-0.974,1.017,warmer
2013-06-01,"Houston, TX metro area",7820.0,10891.0,21621.0,9351.0,2.8,191500.0,36.0,0.9785,458.0,593.0,4.07,153429.85,0.1265,0.1327,-0.3752,-53.0,2.7138,-0.721,0.951,warmer
2013-07-01,"Houston, TX metro area",8370.0,11549.0,21843.0,9650.0,2.6,188000.0,35.0,0.9784,548.0,921.0,4.37,154932.64,0.1091,0.236,-0.3519,-57.0,0.0287,-0.637,1.048,warmer
2013-08-01,"Houston, TX metro area",8027.0,10105.0,21647.0,8671.0,2.7,185102.0,36.0,0.9774,557.0,125.0,4.456,156459.16,0.1218,0.1434,-0.32,-60.0,-0.5904,-0.629,0.915,warmer
2013-09-01,"Houston, TX metro area",6599.0,8277.0,21198.0,7149.0,3.2,181000.0,39.0,0.9757,436.0,929.0,4.49,157778.42,0.1037,0.2133,-0.3057,-58.0,0.0706,-0.65,0.82,warmer
2013-10-01,"Houston, TX metro area",6424.0,8338.0,20661.0,7210.0,3.2,177000.0,45.0,0.9729,450.0,1401.0,4.192,159239.33,0.0836,0.1126,-0.292,-57.0,1.1399,-0.794,0.539,warmer
